size_input_Go,type_implemantation,nb_workers,type_machine,pagerank_output,time_output
0.919,df,6,n4-highmem-2,wikilinks-df-2025-12-05_14-39-20/,time-df-2025-12-05_14-39-20.csv
0.919,rdd,6,n4-highmem-2,wikilinks-rdd-2025-12-05_14-39-20/,time-rdd-2025-12-05_14-39-20.csv
0.919,df,6,n4-highmem-2,wikilinks-df-2025-12-05_15-47-31/,time-df-2025-12-05_15-47-31.csv
0.919,rdd,6,n4-highmem-2,wikilinks-rdd-2025-12-05_15-47-31/,time-rdd-2025-12-05_15-47-31.csv
1.3,df,2,n4-highmem-2,wikilinks-df-2025-12-05_17-25-24/,time-df-2025-12-05_17-25-24.csv
1.3,rdd,2,n4-highmem-2,wikilinks-rdd-2025-12-05_17-25-24/,time-rdd-2025-12-05_17-25-24.csv
1.3,df,2,n4-highmem-2,wikilinks-df-2025-12-05_18-17-38/,time-df-2025-12-05_18-17-38.csv
1.3,df,2,n4-highmem-2,wikilinks-df-2025-12-05_18-55-57/,time-df-2025-12-05_18-55-57.csv
1.3,df,6,n4-highmem-2,wikilinks-df-2025-12-05_18-10-29/,time-df-2025-12-05_18-10-29.csv
1.3,rdd,6,n4-highmem-2,wikilinks-rdd-2025-12-05_18-10-29/,time-rdd-2025-12-05_18-10-29.csv
1.3,df,6,n4-highmem-2,wikilinks-df-2025-12-05_18-55-43/,time-df-2025-12-05_18-55-43.csv
1.3,rdd,6,n4-highmem-2,wikilinks-rdd-2025-12-05_18-55-43/,time-rdd-2025-12-05_18-55-43.csv
1.3,rdd,2,n4-highmem-2,wikilinks-rdd-2025-12-05_19-54-43/,time-rdd-2025-12-05_19-54-43.csv
1.3,rdd,2,n4-highmem-2,wikilinks-rdd-2025-12-05_20-54-43/,time-rdd-2025-12-05_20-54-43.csv
1.3,df,6,n4-highmem-2,wikilinks-df-2025-12-05_20-05-57/,time-df-2025-12-05_20-05-57.csv
1.3,rdd,6,n4-highmem-2,wikilinks-rdd-2025-12-05_20-05-57/,time-rdd-2025-12-05_20-05-57.csv
1.3,df,4,n4-highmem-2,wikilinks-df-2025-12-05_21-08-55/,time-df-2025-12-05_21-08-55.csv
1.3,rdd,4,n4-highmem-2,wikilinks-rdd-2025-12-05_21-08-55/,time-rdd-2025-12-05_21-08-55.csv
1.3,rdd,4,n4-highmem-2,wikilinks-rdd-2025-12-05_21-53-10/,time-rdd-2025-12-05_21-53-10.csv
1.3,rdd,4,n4-highmem-2,wikilinks-rdd-2025-12-06_09-33-38/,time-rdd-2025-12-06_09-33-38.csv
1.3,df,4,n4-highmem-2,wikilinks-df-2025-12-06_09-33-38/,time-df-2025-12-06_09-33-38.csv
1.3,df,4,n4-highmem-2,wikilinks-df-2025-12-06_10-33-27/,time-df-2025-12-06_10-33-27.csv
